date,trend_slug,trend_label,average_relative_interest,countries_available,start_date,months_from_start
2013-10-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-80
2013-10-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-58
2013-10-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-106
2013-10-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-107
2013-10-01,yeti_water_bottle,Yeti,0.0,6,2018-08-01,-58
2013-11-01,camelbak_water_bottle,CamelBak,0.013678451178451179,6,2012-02-01,21
2013-11-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-79
2013-11-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-57
2013-11-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-105
2013-11-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-106
2013-11-01,yeti_water_bottle,Yeti,0.0,6,2018-08-01,-57
2013-12-01,camelbak_water_bottle,CamelBak,0.011273448773448774,6,2012-02-01,22
2013-12-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-78
2013-12-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-56
2013-12-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-104
2013-12-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-105
2013-12-01,yeti_water_bottle,Yeti,0.0,6,2018-08-01,-56
2014-01-01,camelbak_water_bottle,CamelBak,0.012056173820879703,6,2012-02-01,23
2014-01-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-77
2014-01-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-55
2014-01-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-103
2014-01-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-104
2014-01-01,yeti_water_bottle,Yeti,0.0,6,2018-08-01,-55
2014-02-01,camelbak_water_bottle,CamelBak,0.012307525482541748,6,2012-02-01,24
2014-02-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-76
2014-02-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-54
2014-02-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-102
2014-02-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-103
2014-02-01,yeti_water_bottle,Yeti,0.0,6,2018-08-01,-54
2014-03-01,camelbak_water_bottle,CamelBak,0.02483550400217067,6,2012-02-01,25
2014-03-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-75
2014-03-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-53
2014-03-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-101
2014-03-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-102
2014-03-01,yeti_water_bottle,Yeti,0.0,6,2018-08-01,-53
2014-04-01,camelbak_water_bottle,CamelBak,0.023113443278360818,6,2012-02-01,26
2014-04-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-74
2014-04-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-52
2014-04-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-100
2014-04-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-101
2014-04-01,yeti_water_bottle,Yeti,0.0,6,2018-08-01,-52
2014-05-01,camelbak_water_bottle,CamelBak,0.023088023088023088,6,2012-02-01,27
2014-05-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-73
2014-05-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-51
2014-05-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-99
2014-05-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-100
