date,yeti tumbler,water bottle,isPartial,trend_slug,trend_label,trend_query,baseline_term,geo,country
2025-07-01,0,85,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2025-08-01,0,83,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2025-09-01,0,76,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2025-10-01,0,71,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2025-11-01,0,96,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2025-12-01,0,97,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2026-01-01,0,87,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2026-02-01,0,91,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2026-03-01,0,86,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2026-04-01,0,100,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2026-05-01,1,90,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2026-06-01,0,82,True,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
